User1,User2,Action
jmsexton_,jmsexton_,Tweet
ntmyprez,ntmyprez,Tweet
ntmyprez,jmsexton_,Retweet
ntmyprez,commondreams,Mention
colesprouse,colesprouse,Tweet
soltysj,soltysj,Tweet
soltysj,colesprouse,Retweet
matthew_d_green,matthew_d_green,Tweet
lorenshleby,lorenshleby,Tweet
lorenshleby,matthew_d_green,Retweet
KeithOlbermann,KeithOlbermann,Tweet
JessieBahrey,JessieBahrey,Tweet
JessieBahrey,KeithOlbermann,Retweet
JessieBahrey,realDonaldTrump,Mention
kinni00,kinni00,Tweet
RangerSyl,RangerSyl,Tweet
RangerSyl,kinni00,Retweet
McJesse,McJesse,Tweet
steveasbell,steveasbell,Tweet
steveasbell,McJesse,Retweet
RankoHoshino,RankoHoshino,Tweet
RankoHoshino,YouTube,Mention
RankoHoshino,KyleKulinski,Mention
SoundsofSaundra,SoundsofSaundra,Tweet
SoundsofSaundra,TrumpEmpire,Reply
SoundsofSaundra,sethgs,Mention
SoundsofSaundra,KellyannePolls,Mention
KTLA,KTLA,Tweet
sleepyjoo,sleepyjoo,Tweet
sleepyjoo,KTLA,Retweet
suealjen,suealjen,Tweet
suealjen,naturallynita23,Reply
suealjen,TessMinnesota,Mention
Tonyramon24,Tonyramon24,Tweet
Tonyramon24,Tonyramon24,Tweet
Tonyramon24,Tonyramon24,Retweet
Chuchulump,Chuchulump,Tweet
sacca,sacca,Tweet
ThaRealDavidson,ThaRealDavidson,Tweet
ThaRealDavidson,sacca,Retweet
Vertexx_,Vertexx_,Tweet
Vertexx_,YouTube,Mention
TheWrap,TheWrap,Tweet
thinkStory,thinkStory,Tweet
thinkStory,TheWrap,Retweet
ChrisCuomo,ChrisCuomo,Tweet
BizKarten,BizKarten,Tweet
BizKarten,ChrisCuomo,Retweet
mitchellvii,mitchellvii,Tweet
catfishgirl73,catfishgirl73,Tweet
catfishgirl73,mitchellvii,Retweet
vessoull,vessoull,Tweet
Cry2MarvinsRoom,Cry2MarvinsRoom,Tweet
Cry2MarvinsRoom,vessoull,Retweet
politifail,politifail,Tweet
politifail,GOP,Mention
schadde1,schadde1,Tweet
schadde1,mcgilh,Reply
OppLives,OppLives,Tweet
HopeEternall,HopeEternall,Tweet
HopeEternall,OppLives,Retweet
Italians4Trump,Italians4Trump,Tweet
f77a9c24c7f9451,f77a9c24c7f9451,Tweet
f77a9c24c7f9451,Italians4Trump,Retweet
AshleyRParker,AshleyRParker,Tweet
Edmund_BT,Edmund_BT,Tweet
Edmund_BT,AshleyRParker,Retweet
Edmund_BT,PhilipRucker,Mention
Edmund_BT,adamentous,Mention
Edmund_BT,edatpost,Mention
Evan_McMullin,Evan_McMullin,Tweet
bellawonder,bellawonder,Tweet
bellawonder,Evan_McMullin,Retweet
brianklaas,brianklaas,Tweet
firedancer71,firedancer71,Tweet
firedancer71,brianklaas,Retweet
KeithOlbermann,KeithOlbermann,Tweet
LoriBedford1,LoriBedford1,Tweet
LoriBedford1,KeithOlbermann,Retweet
LoriBedford1,realDonaldTrump,Mention
NineInchBride,NineInchBride,Tweet
therealsuzn,therealsuzn,Tweet
therealsuzn,NineInchBride,Retweet
pbump,pbump,Tweet
mariamaria4848,mariamaria4848,Tweet
mariamaria4848,pbump,Retweet
AnahiGrcoo,AnahiGrcoo,Tweet
lasillarota,lasillarota,Tweet
